timestamp,"node_network_receive_bytes_total{instance=""172.16.3.219:9100"", job=""otel-collector"", device=""eth1""}","node_network_transmit_bytes_total{instance=""172.16.3.86:9100"", job=""otel-collector"", device=""eth1""}","node_network_receive_bytes_total{instance=""172.16.2.14:9100"", job=""otel-collector"", device=""eth1""}",packet_count_ratio,delta_time_milliseconds,max_delta_time_milliseconds,min_delta_time_milliseconds,variance_delta_time_ratio,cycle_time_nanoseconds,longest_cycle_time_nanoseconds,shortest_cycle_time_nanoseconds,throughput_rcvd_by_imagestore_MBps,throughput_trnsmt_from_otherapps_MBps,throughput_rcvd_by_pnetio_MBps
1747832168,11881046608,21547341469,691067009408,64,16.002416610717773,17.982959747314453,13.981342315673828,0.24178472643533563,1025923,1338011,1011980,1.210394,1.233370,0.003719
1747832169,11882269236,21548648209,691067013248,64,17.06528663635254,19.06442642211914,12.888193130493164,0.6758177043250339,1045428,1300528,1011071,1.165989,1.246204,0.003662
1747832170,11883541430,21549959455,691067017208,63,16.014575958251953,16.746997833251953,14.989852905273438,0.04368062648133298,1023261,1294340,1008684,1.213259,1.250502,0.003777
1747832171,11884759552,21551302243,691067021288,64,16.02792739868164,18.9361572265625,13.003826141357422,0.354880162649191,1039866,3248436,1012037,1.161692,1.280582,0.003891
1747832172,11885961152,21552599971,691067025128,64,16.030550003051758,16.3114070892334,15.657901763916016,0.004440356017369011,1034905,5604699,1013237,1.145935,1.237610,0.003662
1747832173,11887225836,21553933747,691067028548,64,15.968561172485352,17.616987228393555,14.01209831237793,0.20647811742164285,1050175,1427915,1013624,1.206097,1.271988,0.003262
1747832174,11888445460,21555205941,691067028668,57,14.256715774536133,17.02404022216797,14.256715774536133,0.0904334487929402,1198006,2719327,1012301,1.163124,1.213259,0.000114
1747832175,11889668088,21556545725,691067031570,57,0,17.02404022216797,14.256715774536133,0.0904334487929402,1055020,1181867,1013801,1.165989,1.277718,0.002768
1747832176,11890934274,21557858473,691067035290,7,16.005277633666992,2028.761625289917,14.995336532592773,562669.848413743,1156794,3577134,1010674,1.207529,1.251934,0.003548
1747832177,11892156902,21559157703,691067039272,64,16.034841537475586,16.97683334350586,15.001058578491211,0.03638740563327475,1033406,1269230,1016737,1.165989,1.239042,0.003798
1747832178,11893403562,21560453929,691067039452,64,16.008377075195312,17.024517059326172,14.98556137084961,0.09117960739672781,1060004,1179986,1011941,1.188908,1.236177,0.000172
1747832179,11894656230,21561798219,691067039752,3,4.394054412841797,15.959501266479492,4.394054412841797,33.43989023107952,1028220,3610730,1010877,1.194637,1.282015,0.000286
1747832180,11895883364,21563077923,691067041694,3,0,15.959501266479492,4.394054412841797,33.43989023107952,1025865,3712381,1014807,1.170286,1.220421,0.001852
1747832181,11897143542,21564423715,691067045534,3,0,15.959501266479492,4.394054412841797,33.43989023107952,1033097,1390805,1011678,1.201799,1.283447,0.003662
1747832182,11898358720,21565703419,691067049254,60,16.4639949798584,3059.609889984131,15.012502670288086,154346.6435699141,1027449,2109063,1012048,1.158884,1.220421,0.003548
