"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/val_loss","epoch/val_mae","epoch/val_mape","val_MSE","val_MAE","val_MASE","val_R2","val_RMSE","val_SMAPE"
"LSTM-standard-bs32-augTrue--seed2021--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:52:19.000Z","214","zxgtfzub","32","true","0.5","","LSTM","","","","","","","","","false","standard","2021","true","50","0.0010000000474974513","0.03865092620253563","0.14920619130134585","37.1036491394043","0.08285754173994064","0.2288004904985428","33.30843734741211","350.355334817627","13.675732891301257","0.6360887003934816","0.8976358949569206","18.717781247189183","19.280929888646742"
"LSTM-standard-bs32-augTrue--seed777--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:48:25.000Z","232","zxgtfzub","32","true","0.5","","LSTM","","","","","","","","","false","standard","777","true","54","0.0010000000474974513","0.04027159884572029","0.1484481543302536","32.70412826538086","0.09063507616519928","0.2375180572271347","37.138370513916016","297.06531462433674","12.953150364046795","0.6024797827331577","0.9132057598418192","17.23558280489339","18.986632568949144"
"LSTM-standard-bs32-augTrue--seed4242--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:43:23.000Z","298","zxgtfzub","32","true","0.5","","LSTM","","","","","","","","","false","standard","4242","true","70","0.0010000000474974513","0.03602917119860649","0.14225229620933533","31.762741088867188","0.09038928151130676","0.2373584359884262","36.53749084472656","328.33230628347394","13.123135688323416","0.6103861775760884","0.904070412665664","18.11994222627307","19.814105203329184"
"LSTM-standard-bs32-augTrue--seed42--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:38:31.000Z","292","zxgtfzub","32","true","0.5","","LSTM","","","","","","","","","false","standard","42","true","69","0.0010000000474974513","0.03377393260598183","0.13730517029762268","32.13579559326172","0.1021895706653595","0.2667727768421173","38.82903671264648","358.7645455242864","13.43811577071364","0.6250366005442693","0.8951789569783568","18.941080896408376","19.186769564937244"
"BiLSTM-standard-bs32-augTrue--seed1234--fake_data_length0.25---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:33:56.000Z","274","zxgtfzub","32","true","0.25","","BiLSTM","","","","","","","","","false","standard","1234","true","41","0.004000000189989805","0.02184075303375721","0.11505893617868423","24.237682342529297","0.10405170172452928","0.25593748688697815","34.967529296875","300.71360742393756","13.232722536324571","0.6154833051874072","0.9121398299407926","17.341095911848754","19.539558884206297"
"BiLSTM-standard-bs32-augTrue--seed2021--fake_data_length0.25---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:26:49.000Z","426","zxgtfzub","32","true","0.25","","BiLSTM","","","","","","","","","false","standard","2021","true","70","0.004000000189989805","0.014332852326333525","0.09492535144090652","19.65810775756836","0.0805516391992569","0.21808411180973053","29.749719619750977","372.5682478755372","14.115483771877352","0.6565424902083193","0.8911458982604059","19.302027040586623","21.458992474830296"
"BiLSTM-standard-bs32-augTrue--seed777--fake_data_length0.25---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:23:02.000Z","224","zxgtfzub","32","true","0.25","","BiLSTM","","","","","","","","","false","standard","777","true","36","0.004000000189989805","0.02736829034984112","0.12638786435127258","29.302453994750977","0.06799528747797012","0.1955006867647171","30.764066696166992","238.18862617572307","11.899299668688217","0.5534628470743902","0.930407894138075","15.433360819203411","17.1124168102945"
"BiLSTM-standard-bs32-augTrue--seed4242--fake_data_length0.25---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:19:55.000Z","187","zxgtfzub","32","true","0.25","","BiLSTM","","","","","","","","","false","standard","4242","true","29","0.004000000189989805","0.028337279334664345","0.12865149974822998","31.62830924987793","0.08437666296958923","0.22081226110458377","32.45549392700195","268.14222861369205","12.937069355008694","0.6017318192988493","0.9216562828404335","16.375048965230366","19.928944734184217"
"BiLSTM-standard-bs32-augTrue--seed42--fake_data_length0.25---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:14:59.000Z","290","zxgtfzub","32","true","0.25","","BiLSTM","","","","","","","","","false","standard","42","true","48","0.004000000189989805","0.020058097317814827","0.11204583197832108","22.12596893310547","0.0912797600030899","0.2364477813243866","36.394386291503906","312.5244135483096","12.849735357550651","0.5976697211733011","0.9086890401893308","17.678360035600292","18.776156189670317"
"LSTM-standard-bs32-augTrue--seed1234--fake_data_length0.25---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:09:57.000Z","299","zxgtfzub","32","true","0.25","","LSTM","","","","","","","","","false","standard","1234","true","87","0.0010000000474974513","0.03120763599872589","0.13719704747200012","29.71205711364746","0.08400776982307434","0.22693313658237457","33.57710647583008","384.0543998387563","13.70857518759264","0.6376162685122778","0.8877899634443548","19.59730593318266","18.674013275213667"
"LSTM-standard-bs32-augTrue--seed2021--fake_data_length0.25---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:05:43.000Z","251","zxgtfzub","32","true","0.25","","LSTM","","","","","","","","","false","standard","2021","true","71","0.0010000000474974513","0.0354820191860199","0.14301487803459167","32.907840728759766","0.06956829875707626","0.20373964309692383","31.202260971069336","359.65133240296984","13.7100472356573","0.6376847367360878","0.8949198624643612","18.964475537250426","19.300822435880125"
"LSTM-standard-bs32-augTrue--seed777--fake_data_length0.25---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T19:03:43.000Z","119","zxgtfzub","32","true","0.25","","LSTM","","","","","","","","","false","standard","777","true","32","0.0010000000474974513","0.05404983460903168","0.17653323709964752","40.40428924560547","0.09273883700370789","0.24210231006145477","36.1055908203125","365.7963452468543","14.46522548876306","0.6728097539765902","0.8931244602605675","19.125803126845533","20.99435025153867"
"LSTM-standard-bs32-augTrue--seed4242--fake_data_length0.25---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-16T18:58:26.000Z","313","zxgtfzub","32","true","0.25","","LSTM","","","","","","","","","false","standard","4242","true","89","0.0010000000474974513","0.032450802624225616","0.1374225914478302","32.52499008178711","0.07580998539924622","0.2098219245672226","33.47810363769531","341.3562406628355","13.746692153233925","0.6393891732136507","0.9002651805073552","18.47582855145705","19.3159286427938"
