MD 210,DB 70DBD 4 ΘΕΡΜ ΚΟΛΕΚΤΕΡ ΨΥΓΕΙΩΝ (ΝΕΡΟ ΑΠΟ ΔΕΞΑΜΕΝΗ),DB 30DBW 20 ramposition,DB 20DBW 174 EXTRACTION STEP,DB 10DBW 14 BACKWARD PRESS,DB 20DBD 292,Setpoint position exhaust damper,DB 400DBD 34 z2 energy,T 174,MD 284 C ana kw,MD 70 sinolo ypog-mpanioy,is_low_usage,is_low_usage_next,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,Energy
0.0,23.53533333333333,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2773.3173333333334,0,0.0,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,33.217000000178814
293.3333333333333,23.485333333333333,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2771.351333333333,0,0.0,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,30.51800000295043
310.0,23.346666666666668,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2769.862666666667,0,0.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,34.88799999654293
293.3333333333333,23.226666666666667,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2769.202,0,0.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,48.9130000025034
163.33333333333334,23.07133333333333,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2768.3013333333333,0,0.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,43.70499999821186
163.33333333333334,22.868,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2768.3973333333333,0,0.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,37.18300000205636
0.0,22.422,1226.0,0.0,0.0,0.0,5.0,0.0,1020.0,83.25,2765.7613333333334,0,0.0,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,33.22699999809265
0.0,20.898666666666667,1226.0,0.0,0.0,0.0,100.0,0.0,1020.0,83.25,2764.7406666666666,0,0.0,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,24.077999997884035
0.0,20.996666666666663,1226.0,0.0,0.0,0.0,100.0,0.0,1020.0,83.25,2766.748,0,0.0,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,41.91600000113249
0.0,21.334,1226.0,0.0,0.0,0.0,87.66666666666667,0.0,1020.0,83.25,2747.8706666666667,0,0.0,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,47.43900000303984
0.0,21.249333333333333,1226.0,0.0,0.0,0.0,100.0,0.0,1020.0,83.25,2707.2026666666666,0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,43.85699999704957
0.0,20.324666666666666,1226.0,0.0,0.0,0.0,100.0,0.0,1020.0,83.25,2710.904666666667,0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,62.50200000032783
0.0,19.32733333333333,1226.0,0.0,0.0,0.0,100.0,0.0,1020.0,83.25,2719.606,0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,51.10099999979138
