"Name","State","Notes","User","val_MSE","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/val_loss","epoch/val_mae","epoch/val_mape","val_MAE","val_MASE","val_R2","val_RMSE","val_SMAPE"
"BiLSTM-standard-bs64-augTrue--seed2021--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","2.00785661066213","","2025-10-20T13:35:55.000Z","1818","iguqjlxd","64","true","0.75","","BiLSTM","","","","","","","","","false","standard","2021","true","22","0.004000000189989805","0.015364390797913074","0.08849960565567017","90.5518569946289","0.01594025269150734","0.1025085672736168","15.072453498840332","1.1770588498318642","2.6795967026282193","0.6514408247808798","1.4169885711120362","12.090508591545431"
"BiLSTM-standard-bs64-augTrue--seed1234--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","17.019037834499485","","2025-10-20T13:10:59.000Z","1490","iguqjlxd","64","true","0.75","","BiLSTM","","","","","","","","","false","standard","1234","true","18","0.004000000189989805","0.013704224489629269","0.08274748921394348","63.039573669433594","0.011129428632557392","0.08458735793828964","14.133485794067385","2.4485134287238197","5.574087065303886","-1.9544648552666823","4.1254136561682495","20.20352074239139"
"BiLSTM-standard-bs64-augTrue--seed4242--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","1.489136151042968","","2025-10-20T12:27:45.000Z","2591","iguqjlxd","64","true","0.75","","BiLSTM","","","","","","","","","false","standard","4242","true","32","0.004000000189989805","0.016359135508537292","0.09158125519752502","78.07621765136719","0.01957572810351849","0.11686133593320848","20.434829711914062","0.955136548616442","2.174386392488284","0.7414894739792477","1.220301663951569","9.873031822728818"
"BiLSTM-standard-bs64-augTrue--seed42--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","1.343310665410737","","2025-10-20T11:56:20.000Z","1881","iguqjlxd","64","true","0.75","","BiLSTM","","","","","","","","","false","standard","42","true","23","0.004000000189989805","0.014697176404297352","0.0856010764837265","72.11329650878906","0.020647116005420685","0.11740273237228394","16.288646697998047","0.8560447471579851","1.9488020349317352","0.7668044345834993","1.159012797776943","9.223932124018082"
"LSTM-standard-bs64-augTrue--seed777--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","2.269112562145346","","2025-10-20T11:36:34.000Z","1181","iguqjlxd","64","true","0.5","","LSTM","","","","","","","","","false","standard","777","true","27","0.0010000000474974513","0.03069453313946724","0.1187531128525734","106.10922241210938","0.010257194750010967","0.07836858928203583","12.467952728271484","0.969381235696219","2.2068146916632947","0.6060874073672498","1.50635738194671","9.445070865948628"
"LSTM-standard-bs64-augTrue--seed2021--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","29.092597482174167","","2025-10-20T11:12:29.000Z","1439","iguqjlxd","64","true","0.5","","LSTM","","","","","","","","","false","standard","2021","true","35","0.0010000000474974513","0.02574139274656773","0.11015541851520538","86.93102264404297","0.011200785636901855","0.08442002534866333","13.164137840270996","3.654172967667043","8.318793776872305","-4.050406353481813","5.393755415494307","27.6424985381988"
"LSTM-standard-bs64-augTrue--seed1234--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","4.778172397387194","","2025-10-20T10:42:22.000Z","1805","iguqjlxd","64","true","0.5","","LSTM","","","","","","","","","false","standard","1234","true","43","0.0010000000474974513","0.027609359472990036","0.11186222732067108","90.95399475097656","0.012606733478605747","0.09101836383342744","14.27587604522705","1.619462791704783","3.6867376319383696","0.17052053366558717","2.185903107959544","15.30320530518532"
"LSTM-standard-bs64-augTrue--seed4242--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","6.006170655269781","","2025-10-20T10:14:20.000Z","1678","iguqjlxd","64","true","0.5","","LSTM","","","","","","","","","false","standard","4242","true","39","0.0010000000474974513","0.026095520704984665","0.11039623618125916","94.30128479003906","0.012076173909008505","0.08785513788461685","14.597685813903809","1.6690281151361095","3.799574026864805","-0.04265706958812299","2.4507489988307207","15.168452752027726"
"LSTM-standard-bs64-augTrue--seed42--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","5.560890600516534","","2025-10-20T09:37:08.000Z","2227","iguqjlxd","64","true","0.5","","LSTM","","","","","","","","","false","standard","42","true","54","0.0010000000474974513","0.02375064790248871","0.10706138610839844","73.80436706542969","0.008846732787787914","0.07301221042871475","13.988168716430664","1.476999506250128","3.3624172719118453","0.03464249841994005","2.358154066323177","13.372581220931677"
"BiLSTM-standard-bs64-augTrue--seed777--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","1.983270658037723","","2025-10-20T08:35:20.000Z","3704","iguqjlxd","64","true","0.5","","BiLSTM","","","","","","","","","false","standard","777","true","54","0.004000000189989805","0.018493935465812683","0.0962393283843994","77.85848999023438","0.02270475402474403","0.12427841126918791","18.24669075012207","0.985756781020895","2.2440939298781117","0.6557088882089319","1.4082864261355794","9.982616082116268"
